US-Mexico Border Personal Vehicles,1878396281
US-Mexico Border Trains,211628
US-Canada Border Rail Containers Empty,12921908
US-Mexico Border Truck Containers Empty,40699364
US-Mexico Border Buses,5563985
US-Mexico Border Personal Vehicle Passengers,4021598752
US-Mexico Border Rail Containers Full,8204914
US-Mexico Border Bus Passengers,69657843
US-Canada Border Truck Containers Empty,25735751
US-Canada Border Trains,716137
US-Mexico Border Truck Containers Full,74265181
US-Mexico Border Pedestrians,1068886166
US-Mexico Border Trucks,116179954
US-Canada Border Truck Containers Full,109827105
US-Canada Border Bus Passengers,75801427
US-Canada Border Trucks,146590005
US-Canada Border Rail Containers Full,31907808
US-Mexico Border Rail Containers Empty,9254554
US-Canada Border Train Passengers,6158650
US-Canada Border Personal Vehicles,757603605
US-Canada Border Pedestrians,13446607
US-Canada Border Buses,3158050
US-Canada Border Personal Vehicle Passengers,1580363817
US-Mexico Border Train Passengers,294900
